,community,id,members,attendAsembly,memOrg,income,monthInstall,primaryEd,secondaryEd,owner,yearsInHome,control,treatNoBonus,treatBonus,waterScarce,waterOK,houseType,age,numShowers,numSinks,numKitchen,showerTime,showerFreq,sinkTime,sinkFreq,kitchenTime,maxInstall,numInstalled,cleanShower,cleanKitchen,cleanSink,leaks,savings,sameFamily,totalDisadopt,partialDisadopt,noDisadopt,meanUsage,perCapitaUsage,kitchenExpectation,sinkExpectation,showerExpectation,cleanSum
206,31.0,31146.0,3.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,73.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,7.0,1.0,0.0,1.0,0,14.771929824561404,4.923976608187135,2.0,2.0,2.0,3.0
209,31.0,31149.0,4.0,0.0,0.0,5.0,6.0,1.0,1.0,1.0,35.0,0.0,0.0,1.0,0.0,1.0,1.0,65.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,1.0,0,35.98245614035088,8.99561403508772,4.5,5.4,4.4,3.0
215,31.0,31155.0,4.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,58.0,0.0,0.0,1.0,0.0,1.0,1.0,77.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,32.73684210526316,8.18421052631579,2.0,2.0,2.0,2.0
222,31.0,31163.0,3.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,64.0,0.0,1.0,0.0,0.0,1.0,1.0,66.0,0.0,1.0,1.0,,,1.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,20.614035087719298,6.871345029239766,2.0,2.0,,2.0
224,31.0,31165.0,6.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,3.0,42.0,1.0,0.0,0.0,1.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1,13.87719298245614,2.3128654970760234,,,4.5,1.0
228,31.0,31169.0,4.0,0.0,0.0,4.0,6.0,1.0,1.0,1.0,52.0,0.0,1.0,0.0,0.0,1.0,1.0,53.0,1.0,0.0,1.0,1.0,3.0,,,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0,23.017543859649123,5.754385964912281,3.0,,2.0,0.0
229,31.0,31170.0,3.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,43.0,0.0,1.0,0.0,0.0,1.0,1.0,56.0,0.0,1.0,1.0,,,2.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1,33.54385964912281,11.181286549707602,4.300000000000001,5.3,,2.0
231,31.0,31172.0,5.0,1.0,0.0,4.0,6.0,1.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,47.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1,25.912280701754387,5.182456140350878,,3.0,3.0,2.0
235,31.0,31177.0,4.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,26.0,0.0,1.0,0.0,0.0,1.0,1.0,52.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,21.526315789473685,5.381578947368421,2.0,,2.0,2.0
237,31.0,31180.0,3.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,19.0,0.0,1.0,0.0,0.0,1.0,1.0,41.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1,15.789473684210526,5.263157894736842,2.5999999999999996,4.6,3.6000000000000005,3.0
238,31.0,31181.0,4.0,1.0,0.0,3.0,6.0,1.0,0.0,1.0,80.0,0.0,1.0,0.0,0.0,1.0,1.0,76.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1,30.649122807017545,7.662280701754386,4.0,4.0,4.0,3.0
239,31.0,31182.0,4.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,50.0,0.0,0.0,1.0,0.0,1.0,1.0,37.0,0.0,1.0,0.0,,,3.0,3.0,,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1,30.22641509433962,7.556603773584905,,8.0,,1.0
240,31.0,31183.0,7.0,0.0,0.0,,6.0,1.0,1.0,1.0,40.0,0.0,1.0,0.0,0.0,1.0,1.0,56.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,,2.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0,26.596491228070175,3.799498746867168,,4.8,4.8,2.0
241,31.0,31184.0,4.0,1.0,1.0,3.0,6.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,39.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1,15.017543859649123,3.754385964912281,2.0,6.0,5.0,1.0
245,31.0,31189.0,4.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,4.0,34.0,1.0,0.0,0.0,1.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,16.105263157894736,4.026315789473684,,,4.9,1.0
246,31.0,31190.0,2.0,0.0,0.0,,6.0,1.0,1.0,1.0,50.0,0.0,1.0,0.0,0.0,1.0,1.0,59.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1,8.12280701754386,4.06140350877193,4.0,,3.2,2.0
248,31.0,31192.0,7.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,37.0,1.0,0.0,0.0,3.0,3.0,,,,1.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,1,22.80701754385965,3.2581453634085213,,,3.0,0.0
250,31.0,31194.0,8.0,0.0,0.0,,6.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,31.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,17.157894736842106,2.1447368421052633,4.4,4.4,4.4,3.0
255,31.0,31199.0,5.0,0.0,0.0,4.0,6.0,1.0,0.0,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,65.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1,48.6140350877193,9.722807017543861,4.0,,5.8,2.0
256,31.0,31200.0,4.0,1.0,1.0,3.0,6.0,1.0,0.0,1.0,24.0,0.0,0.0,1.0,0.0,1.0,1.0,60.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0,33.45614035087719,8.364035087719298,5.0,5.0,3.0,3.0
258,31.0,31202.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,15.0,0.0,1.0,0.0,0.0,1.0,1.0,87.0,0.0,1.0,0.0,,,3.0,3.0,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,35.0,17.5,,4.5,,1.0
260,31.0,31206.0,3.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,19.0,0.0,0.0,1.0,0.0,1.0,1.0,83.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,1.0,0,24.280701754385966,8.09356725146199,4.0,5.0,2.0,3.0
264,31.0,31210.0,2.0,0.0,0.0,5.0,6.0,1.0,1.0,1.0,35.0,0.0,0.0,1.0,0.0,1.0,1.0,67.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,,2.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0,15.631578947368421,7.815789473684211,,2.4000000000000004,3.4,2.0
267,31.0,31213.0,2.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,45.0,0.0,1.0,0.0,0.0,1.0,1.0,65.0,1.0,0.0,1.0,1.0,3.0,,,3.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0,27.280701754385966,13.640350877192983,9.0,,9.0,2.0
268,31.0,31214.0,4.0,0.0,0.0,5.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,34.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1,20.63157894736842,5.157894736842105,3.7,3.7,3.7,3.0
270,31.0,31216.0,2.0,1.0,0.0,3.0,6.0,1.0,0.0,1.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,84.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,,2.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,1,14.929824561403509,7.464912280701754,,3.0,3.0,2.0
273,31.0,31219.0,5.0,1.0,0.0,2.0,6.0,1.0,0.0,1.0,50.0,0.0,0.0,1.0,0.0,1.0,1.0,63.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,,2.0,2.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,1,17.473684210526315,3.494736842105263,,6.0,5.0,2.0
275,31.0,31222.0,4.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,1.0,4.0,54.0,1.0,0.0,0.0,2.0,3.0,,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,17.596491228070175,4.399122807017544,,,3.0,1.0
276,31.0,31223.0,2.0,0.0,1.0,2.0,6.0,1.0,0.0,1.0,24.0,0.0,0.0,1.0,0.0,1.0,1.0,69.0,0.0,1.0,0.0,,,3.0,3.0,,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1,9.842105263157896,4.921052631578948,,4.3,,1.0
286,31.0,31234.0,3.0,0.0,1.0,,6.0,1.0,0.0,1.0,30.0,0.0,1.0,0.0,0.0,1.0,1.0,21.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0,14.719298245614034,4.906432748538012,3.7,,3.7,2.0
291,31.0,31239.0,2.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,75.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0,6.315789473684211,3.1578947368421053,4.0,,5.5,2.0
294,31.0,31242.0,6.0,1.0,0.0,4.0,6.0,1.0,0.0,1.0,30.0,0.0,0.0,1.0,0.0,1.0,1.0,36.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0,35.59649122807018,5.932748538011697,2.0,,3.0,2.0
296,31.0,31244.0,3.0,0.0,0.0,4.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,32.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1,15.526315789473685,5.175438596491229,2.5,2.0,3.0,3.0
298,31.0,31246.0,3.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.1666666716337204,0.0,0.0,1.0,0.0,1.0,3.0,25.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0,34.719298245614034,11.573099415204679,2.0,,3.0,2.0
302,31.0,31250.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,76.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,20.157894736842106,10.078947368421053,3.0,3.0,3.0,3.0
308,31.0,31258.0,2.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,30.0,0.0,1.0,0.0,0.0,1.0,1.0,62.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0,26.45614035087719,13.228070175438596,2.0,,2.0,2.0
314,31.0,31264.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,50.0,0.0,1.0,0.0,0.0,1.0,1.0,64.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,2.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1,11.87719298245614,5.93859649122807,4.0,,5.0,2.0
323,31.0,31276.0,5.0,1.0,0.0,3.0,6.0,1.0,0.0,1.0,20.0,0.0,1.0,0.0,0.0,1.0,1.0,48.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1,18.36842105263158,3.6736842105263157,,5.3,4.300000000000001,2.0
324,31.0,31281.0,3.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.6666666865348816,0.0,1.0,0.0,0.0,1.0,3.0,21.0,1.0,1.0,0.0,,,,,,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1,23.140350877192983,7.713450292397661,,,,0.0
330,31.0,31288.0,8.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,15.0,0.0,1.0,0.0,0.0,1.0,1.0,51.0,2.0,0.0,1.0,1.0,3.0,,,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0,19.859649122807017,2.482456140350877,4.8,,4.8,0.0
333,31.0,31292.0,4.0,1.0,0.0,4.0,6.0,1.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,48.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1,19.87719298245614,4.969298245614035,4.0,6.0,4.0,2.0
342,31.0,31306.0,4.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,28.0,2.0,1.0,1.0,,,,,,4.0,2.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0,9.43859649122807,2.3596491228070176,,,,0.0
344,31.0,31308.0,4.0,0.0,0.0,,6.0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,44.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1,20.68421052631579,5.171052631578948,7.0,6.0,4.4,3.0
346,31.0,31311.0,2.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,38.0,0.0,0.0,1.0,0.0,1.0,1.0,70.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1,12.526315789473685,6.2631578947368425,,3.0,3.0,2.0
361,31.0,31327.0,4.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,48.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,,2.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0,33.771929824561404,8.442982456140351,,2.0,2.0,2.0
363,31.0,31329.0,2.0,1.0,0.0,4.0,6.0,1.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,43.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,,2.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0,17.105263157894736,8.552631578947368,,3.0,2.0,2.0
377,31.0,31382.0,5.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,41.0,1.0,0.0,0.0,3.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1,20.894736842105264,4.178947368421053,,,3.0,1.0
379,31.0,31384.0,2.0,0.0,1.0,5.0,6.0,1.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,70.0,0.0,2.0,1.0,,,3.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1,17.24561403508772,8.62280701754386,4.0,2.4000000000000004,,2.0
382,31.0,31387.0,3.0,0.0,0.0,5.0,6.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,40.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1,8.140350877192983,2.713450292397661,4.0,4.0,4.0,0.0
392,31.0,31409.0,4.0,1.0,0.0,3.0,6.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,32.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1,14.228070175438596,3.557017543859649,3.0,,5.0,2.0
399,31.0,31417.0,2.0,1.0,0.0,3.0,6.0,1.0,0.0,1.0,15.0,0.0,1.0,0.0,0.0,1.0,1.0,77.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1,25.17543859649123,12.587719298245615,3.0,,3.0,2.0
405,31.0,31424.0,5.0,0.0,0.0,3.0,6.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,37.0,0.0,2.0,1.0,,,3.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0,29.94736842105263,5.989473684210526,4.0,4.0,,2.0
411,31.0,31430.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,44.0,1.0,0.0,1.0,,,,,,2.0,1.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0,26.45614035087719,4.409356725146199,,,,0.0
412,31.0,31431.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,28.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,1,23.0,23.0,2.0,3.6000000000000005,3.4,3.0
415,31.0,31435.0,2.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,53.0,1.0,0.0,1.0,3.0,3.0,,,3.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0,13.280701754385966,6.640350877192983,5.0,,3.3000000000000003,2.0
418,31.0,31440.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,66.0,1.0,0.0,0.0,1.0,3.0,,,,1.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,0,2.8947368421052633,2.8947368421052633,,,3.0,1.0
419,31.0,31442.0,5.0,0.0,0.0,5.0,6.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,44.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1,26.017543859649123,5.203508771929824,6.0,3.0,7.0,3.0
428,31.0,31453.0,4.0,0.0,0.0,5.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,33.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0,12.631578947368421,3.1578947368421053,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.0
429,31.0,31454.0,3.0,0.0,0.0,4.0,6.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,33.0,0.0,0.0,1.0,,,,,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,16.313725490196077,5.4379084967320255,9.0,,,0.0
430,31.0,31455.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,34.0,1.0,0.0,0.0,1.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1,11.228070175438596,3.742690058479532,,,3.3000000000000003,1.0
442,31.0,31468.0,5.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,36.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,,2.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,1,19.4390243902439,3.8878048780487804,,4.0,4.0,2.0
443,31.0,31469.0,3.0,0.0,0.0,,6.0,1.0,0.0,1.0,0.5833333134651184,0.0,0.0,1.0,0.0,1.0,1.0,45.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1,23.53846153846154,7.846153846153847,7.199999999999999,7.199999999999999,4.300000000000001,3.0
444,31.0,31470.0,2.0,0.0,0.0,5.0,6.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,51.0,0.0,1.0,1.0,,,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,31.914285714285715,15.957142857142857,2.0,2.0,,0.0
447,31.0,31473.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,43.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,7.0,1.0,0.0,1.0,0,22.76923076923077,3.794871794871795,4.0,4.0,4.0,3.0
458,32.0,32007.0,10.0,1.0,0.0,3.0,7.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,31.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0,25.02857142857143,2.5028571428571427,,,,2.0
466,32.0,32019.0,6.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,3.0,37.0,1.0,0.0,0.0,2.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,21.054545454545455,3.5090909090909093,,,,1.0
476,32.0,32030.0,4.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,38.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,0,33.421052631578945,8.355263157894736,3.4,3.4,3.4,3.0
478,32.0,32032.0,1.0,1.0,0.0,4.0,7.0,1.0,1.0,1.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,65.0,1.0,0.0,1.0,1.0,3.0,,,1.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,0,4.140350877192983,4.140350877192983,,,,0.0
479,32.0,32033.0,4.0,0.0,0.0,3.0,7.0,1.0,0.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,59.0,1.0,0.0,1.0,1.0,3.0,,,3.0,2.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,0,14.052631578947368,3.513157894736842,,,,1.0
484,32.0,32039.0,3.0,0.0,1.0,5.0,7.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,67.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0,19.157894736842106,6.385964912280702,5.0,5.0,2.5,3.0
496,32.0,32051.0,1.0,1.0,0.0,5.0,7.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,67.50877192982456,67.50877192982456,2.0,2.0,2.0,3.0
505,32.0,32060.0,5.0,0.0,1.0,4.0,7.0,1.0,0.0,1.0,21.0,0.0,1.0,0.0,1.0,0.0,1.0,42.0,1.0,0.0,0.0,1.0,3.0,,,,1.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,0,31.75438596491228,6.350877192982456,,,,1.0
506,32.0,32061.0,5.0,0.0,0.0,,7.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0,32.0,1.0,0.0,1.0,1.0,3.0,,,3.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0,23.105263157894736,4.621052631578947,,,,2.0
510,32.0,32065.0,2.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0,45.0,0.0,1.0,0.0,1.0,0.0,1.0,65.0,1.0,0.0,0.0,3.0,3.0,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,18.483870967741936,9.241935483870968,,,,0.0
513,32.0,32068.0,4.0,1.0,0.0,4.0,7.0,1.0,1.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0,30.666666666666668,7.666666666666667,,,,2.0
515,32.0,32072.0,1.0,1.0,0.0,3.0,7.0,1.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,3.0,25.0,1.0,1.0,1.0,,,,,,3.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0,15.56140350877193,15.56140350877193,,,,0.0
517,32.0,32074.0,5.0,0.0,0.0,4.0,7.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,28.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0,29.157894736842106,5.831578947368421,,,,0.0
519,32.0,32076.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,61.0,1.0,0.0,0.0,2.0,3.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0,18.017543859649123,18.017543859649123,,,,0.0
520,32.0,32077.0,5.0,1.0,0.0,3.0,7.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,1.0,0.0,1.0,34.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,0,38.45614035087719,7.6912280701754385,,,,2.0
